COUNTYFIPS,ACS_PCT_LT_HS,SAIPE_PCT_POV_0_17,ACS_TOT_POP_WT,AREA
Albany County,7.64,12.5,306165,1380
Allegany County,8.3,21,46304,2678
Bronx County,26.57,30.6,1427056,149
Broome County,9.72,23.8,192042,1852
Cattaraugus County,10.33,22,76750,3393
Cayuga County,11.77,15.3,76958,2238
Chautauqua County,10.58,19.4,127584,3885
Chemung County,10.1,20.1,84115,1064
Chenango County,11.53,15.7,47527,2328
Clinton County,11.95,13.1,80320,2896
Columbia County,9.08,16,60016,1678
Cortland County,9.31,15.7,47618,1300
Delaware County,10.52,18.7,44676,1468
Dutchess County,8.86,8.6,293524,2137
Erie County,7.95,17.8,918873,3178
Essex County,9.52,14.9,37281,4962
Franklin County,12.28,25,50389,4395
Fulton County,11.57,20.2,53452,1380
Genesee County,7.75,12.6,57554,1282
Greene County,12.7,16.1,47335,1704
Hamilton County,20.46,14.1,4454,4683
Herkimer County,9.35,16.2,61738,3776
Jefferson County,9.04,17.8,111454,4810
Kings County,16.8,23.5,2576771,251
Lewis County,8.7,16.7,26456,3341
Livingston County,8.25,12.3,63218,1658
Madison County,7.38,13.9,70990,1715
Monroe County,9.15,20.4,743084,3538
Montgomery County,12.17,20.2,49294,1062
Nassau County,8.45,6.3,1355683,1173
New York County,12.16,19.3,1629153,87
Niagara County,8.45,14.7,210145,2953
Oneida County,10.96,17.7,229074,3142
Onondaga County,8.77,19.6,461591,2088
Ontario County,6.81,11,109774,1715
Orange County,10.14,15.7,382077,2173
Orleans County,12.34,20.1,40624,2116
Oswego County,10.88,19.2,117630,3398
Otsego County,7.35,16.8,59593,2598
Putnam County,7.03,5.6,98714,637
Queens County,17.4,13,2270976,462
Rensselaer County,7.53,14.3,159013,1722
Richmond County,11.54,15,475596,265
Rockland County,11.49,25,325213,515
St. Lawrence County,11.41,18.4,108352,7306
Saratoga County,6.27,6.3,229313,2186
Schenectady County,9.07,15.4,155086,544
Schoharie County,9.32,15.5,31189,1621
Schuyler County,8.94,16.8,17845,886
Seneca County,15.08,19.1,34295,842
Steuben County,8.8,18.4,95843,3636
Suffolk County,9.65,6.2,1481364,6146
Sullivan County,13.04,21.3,75329,2582
Tioga County,8.21,12.1,48431,1355
Tompkins County,5.51,12.4,102237,1233
Ulster County,8.83,13.6,178371,3007
Warren County,7.9,13.8,64187,2253
Washington County,11.96,16.1,61304,2191
Wayne County,10.14,12.3,90103,3585
Westchester County,11.39,8.5,968738,1295
Wyoming County,9.53,11.3,40027,1544
Yates County,13.5,22.2,24981,974
