ID,StateCode,CountyCode,CountyName,Year,Force,Employed,Unemployed,Percent
CN0100100000000,01,001,"Autauga County, AL",2014,"25,610     ","24,111     ","1,499     ",5.9     
CN0100300000000,01,003,"Baldwin County, AL",2014,"86,444     ","81,131     ","5,313     ",6.1     
CN0100500000000,01,005,"Barbour County, AL",2014,"8,852     ","7,917     ",935     ,10.6     
CN0100700000000,01,007,"Bibb County, AL",2014,"8,564     ","7,946     ",618     ,7.2     
CN0100900000000,01,009,"Blount County, AL",2014,"24,543     ","23,036     ","1,507     ",6.1     
CN0101100000000,01,011,"Bullock County, AL",2014,"4,734     ","4,316     ",418     ,8.8     
CN0101300000000,01,013,"Butler County, AL",2014,"9,276     ","8,482     ",794     ,8.6     
CN0101500000000,01,015,"Calhoun County, AL",2014,"47,274     ","43,492     ","3,782     ",8.0     
CN0101700000000,01,017,"Chambers County, AL",2014,"15,314     ","14,285     ","1,029     ",6.7     
CN0101900000000,01,019,"Cherokee County, AL",2014,"11,394     ","10,731     ",663     ,5.8     
CN0102100000000,01,021,"Chilton County, AL",2014,"19,108     ","17,909     ","1,199     ",6.3     
CN0102300000000,01,023,"Choctaw County, AL",2014,"4,497     ","4,091     ",406     ,9.0     
CN0102500000000,01,025,"Clarke County, AL",2014,"8,161     ","7,166     ",995     ,12.2     
CN0102700000000,01,027,"Clay County, AL",2014,"5,516     ","5,120     ",396     ,7.2     
CN0102900000000,01,029,"Cleburne County, AL",2014,"5,857     ","5,470     ",387     ,6.6     
CN0103100000000,01,031,"Coffee County, AL",2014,"20,242     ","18,895     ","1,347     ",6.7     
CN0103300000000,01,033,"Colbert County, AL",2014,"24,043     ","22,046     ","1,997     ",8.3     
CN0103500000000,01,035,"Conecuh County, AL",2014,"4,721     ","4,232     ",489     ,10.4     
CN0103700000000,01,037,"Coosa County, AL",2014,"4,471     ","4,076     ",395     ,8.8     
CN0103900000000,01,039,"Covington County, AL",2014,"15,921     ","14,682     ","1,239     ",7.8     
CN0104100000000,01,041,"Crenshaw County, AL",2014,"6,303     ","5,865     ",438     ,6.9     
CN0104300000000,01,043,"Cullman County, AL",2014,"35,942     ","33,758     ","2,184     ",6.1     
CN0104500000000,01,045,"Dale County, AL",2014,"20,330     ","18,888     ","1,442     ",7.1     
CN0104700000000,01,047,"Dallas County, AL",2014,"16,015     ","14,211     ","1,804     ",11.3     
CN0104900000000,01,049,"DeKalb County, AL",2014,"28,965     ","26,970     ","1,995     ",6.9     
CN0105100000000,01,051,"Elmore County, AL",2014,"36,567     ","34,474     ","2,093     ",5.7     
CN0105300000000,01,053,"Escambia County, AL",2014,"14,376     ","13,223     ","1,153     ",8.0     
CN0105500000000,01,055,"Etowah County, AL",2014,"43,756     ","40,663     ","3,093     ",7.1     
CN0105700000000,01,057,"Fayette County, AL",2014,"6,354     ","5,854     ",500     ,7.9     
CN0105900000000,01,059,"Franklin County, AL",2014,"13,724     ","12,661     ","1,063     ",7.7     
CN0106100000000,01,061,"Geneva County, AL",2014,"10,800     ","10,077     ",723     ,6.7     
CN0106300000000,01,063,"Greene County, AL",2014,"2,988     ","2,615     ",373     ,12.5     
CN0106500000000,01,065,"Hale County, AL",2014,"6,037     ","5,440     ",597     ,9.9     
CN0106700000000,01,067,"Henry County, AL",2014,"6,780     ","6,271     ",509     ,7.5     
CN0106900000000,01,069,"Houston County, AL",2014,"45,177     ","42,104     ","3,073     ",6.8     
CN0107100000000,01,071,"Jackson County, AL",2014,"23,463     ","21,756     ","1,707     ",7.3     
CN0107300000000,01,073,"Jefferson County, AL",2014,"312,342     ","292,670     ","19,672     ",6.3     
CN0107500000000,01,075,"Lamar County, AL",2014,"5,629     ","5,235     ",394     ,7.0     
CN0107700000000,01,077,"Lauderdale County, AL",2014,"43,502     ","40,369     ","3,133     ",7.2     
CN0107900000000,01,079,"Lawrence County, AL",2014,"14,031     ","12,875     ","1,156     ",8.2     
CN0108100000000,01,081,"Lee County, AL",2014,"71,402     ","67,397     ","4,005     ",5.6     
CN0108300000000,01,083,"Limestone County, AL",2014,"39,604     ","37,184     ","2,420     ",6.1     
CN0108500000000,01,085,"Lowndes County, AL",2014,"3,875     ","3,378     ",497     ,12.8     
CN0108700000000,01,087,"Macon County, AL",2014,"8,242     ","7,490     ",752     ,9.1     
CN0108900000000,01,089,"Madison County, AL",2014,"170,190     ","159,664     ","10,526     ",6.2     
CN0109100000000,01,091,"Marengo County, AL",2014,"7,629     ","7,019     ",610     ,8.0     
CN0109300000000,01,093,"Marion County, AL",2014,"12,298     ","11,324     ",974     ,7.9     
CN0109500000000,01,095,"Marshall County, AL",2014,"39,931     ","37,261     ","2,670     ",6.7     
CN0109700000000,01,097,"Mobile County, AL",2014,"185,451     ","171,055     ","14,396     ",7.8     
CN0109900000000,01,099,"Monroe County, AL",2014,"7,620     ","6,776     ",844     ,11.1     
CN0110100000000,01,101,"Montgomery County, AL",2014,"105,077     ","97,854     ","7,223     ",6.9     
CN0110300000000,01,103,"Morgan County, AL",2014,"56,069     ","52,365     ","3,704     ",6.6     
CN0110500000000,01,105,"Perry County, AL",2014,"3,492     ","3,068     ",424     ,12.1     
CN0110700000000,01,107,"Pickens County, AL",2014,"7,766     ","7,128     ",638     ,8.2     
CN0110900000000,01,109,"Pike County, AL",2014,"14,958     ","13,854     ","1,104     ",7.4     
CN0111100000000,01,111,"Randolph County, AL",2014,"9,281     ","8,655     ",626     ,6.7     
CN0111300000000,01,113,"Russell County, AL",2014,"24,783     ","23,160     ","1,623     ",6.5     
CN0111500000000,01,115,"St. Clair County, AL",2014,"38,538     ","36,308     ","2,230     ",5.8     
CN0111700000000,01,117,"Shelby County, AL",2014,"107,278     ","102,457     ","4,821     ",4.5     
CN0111900000000,01,119,"Sumter County, AL",2014,"5,376     ","4,919     ",457     ,8.5     
CN0112100000000,01,121,"Talladega County, AL",2014,"35,414     ","32,657     ","2,757     ",7.8     
CN0112300000000,01,123,"Tallapoosa County, AL",2014,"18,433     ","17,045     ","1,388     ",7.5     
CN0112500000000,01,125,"Tuscaloosa County, AL",2014,"97,127     ","91,375     ","5,752     ",5.9     
CN0112700000000,01,127,"Walker County, AL",2014,"25,771     ","23,728     ","2,043     ",7.9     
CN0112900000000,01,129,"Washington County, AL",2014,"6,659     ","6,018     ",641     ,9.6     
CN0113100000000,01,131,"Wilcox County, AL",2014,"2,868     ","2,381     ",487     ,17.0     
CN0113300000000,01,133,"Winston County, AL",2014,"9,637     ","8,807     ",830     ,8.6     
CN0201300000000,02,013,"Aleutians East Borough, AK",2014,"2,226     ","2,126     ",100     ,4.5     
CN0201600000000,02,016,"Aleutians West Census Area, AK",2014,"4,477     ","4,263     ",214     ,4.8     
CN0202000000000,02,020,"Anchorage Borough/municipality, AK",2014,"158,131     ","149,931     ","8,200     ",5.2     
CN0205000000000,02,050,"Bethel Census Area, AK",2014,"7,305     ","6,134     ","1,171     ",16.0     
CN0206000000000,02,060,"Bristol Bay Borough, AK",2014,497     ,457     ,40     ,8.0     
CN0206800000000,02,068,"Denali Borough, AK",2014,"1,072     ",962     ,110     ,10.3     
CN0207000000000,02,070,"Dillingham Census Area, AK",2014,"2,119     ","1,907     ",212     ,10.0     
CN0209000000000,02,090,"Fairbanks North Star Borough, AK",2014,"46,807     ","44,116     ","2,691     ",5.7     
CN0210000000000,02,100,"Haines Borough, AK",2014,"1,112     ",994     ,118     ,10.6     
CN0210500000000,02,105,"Hoonah-Angoon Census Area, AK",2014,"1,140     ",968     ,172     ,15.1     
CN0211000000000,02,110,"Juneau Borough/city, AK",2014,"17,466     ","16,587     ",879     ,5.0     
CN0212200000000,02,122,"Kenai Peninsula Borough, AK",2014,"27,961     ","25,773     ","2,188     ",7.8     
CN0213000000000,02,130,"Ketchikan Gateway Borough, AK",2014,"7,105     ","6,551     ",554     ,7.8     
CN0215000000000,02,150,"Kodiak Island Borough, AK",2014,"6,583     ","6,211     ",372     ,5.7     
CN0215800000000,02,158,"Kusilvak Census Area, AK",2014,"2,827     ","2,156     ",671     ,23.7     
CN0216400000000,02,164,"Lake and Peninsula Borough, AK",2014,645     ,540     ,105     ,16.3     
CN0217000000000,02,170,"Matanuska-Susitna Borough, AK",2014,"44,897     ","41,292     ","3,605     ",8.0     
