Country or Area,Year(s),Variant,Value
Afghanistan,2015,Medium,33736.494
Afghanistan,2015,High,33736.494
Afghanistan,2015,Low,33736.494
Afghanistan,2015,Constant fertility,33736.494
Afghanistan,2015,Instant replacement,33736.494
Afghanistan,2015,Zero migration,33736.494
Afghanistan,2015,Constant mortality,33736.494
Afghanistan,2015,No change,33736.494
Afghanistan,2015,Momentum,33736.494
Africa,2015,Medium,1194369.908
Africa,2015,High,1194369.908
Africa,2015,Low,1194369.908
Africa,2015,Constant fertility,1194369.908
Africa,2015,Instant replacement,1194369.908
Africa,2015,Zero migration,1194369.908
Africa,2015,Constant mortality,1194369.908
Africa,2015,No change,1194369.908
Africa,2015,Momentum,1194369.908
Albania,2015,Medium,2923.352
Albania,2015,High,2923.352
Albania,2015,Low,2923.352
Albania,2015,Constant fertility,2923.352
Albania,2015,Instant replacement,2923.352
Albania,2015,Zero migration,2923.352
Albania,2015,Constant mortality,2923.352
Albania,2015,No change,2923.352
Albania,2015,Momentum,2923.352
Algeria,2015,Medium,39871.528
Algeria,2015,High,39871.528
Algeria,2015,Low,39871.528
Algeria,2015,Constant fertility,39871.528
Algeria,2015,Instant replacement,39871.528
Algeria,2015,Zero migration,39871.528
Algeria,2015,Constant mortality,39871.528
Algeria,2015,No change,39871.528
Algeria,2015,Momentum,39871.528
American Samoa,2015,Medium,55.537
American Samoa,2015,High,55.537
American Samoa,2015,Low,55.537
American Samoa,2015,Constant fertility,55.537
American Samoa,2015,Instant replacement,55.537
American Samoa,2015,Zero migration,55.537
American Samoa,2015,Constant mortality,55.537
American Samoa,2015,No change,55.537
American Samoa,2015,Momentum,55.537
Andorra,2015,Medium,78.014
Andorra,2015,High,78.014
Andorra,2015,Low,78.014
Andorra,2015,Constant fertility,78.014
Andorra,2015,Instant replacement,78.014
Andorra,2015,Zero migration,78.014
Andorra,2015,Constant mortality,78.014
Andorra,2015,No change,78.014
Andorra,2015,Momentum,78.014
Angola,2015,Medium,27859.305
Angola,2015,High,27859.305
Angola,2015,Low,27859.305
Angola,2015,Constant fertility,27859.305
Angola,2015,Instant replacement,27859.305
Angola,2015,Zero migration,27859.305
Angola,2015,Constant mortality,27859.305
Angola,2015,No change,27859.305
Angola,2015,Momentum,27859.305
Anguilla,2015,Medium,14.611
Anguilla,2015,High,14.611
Anguilla,2015,Low,14.611
Anguilla,2015,Constant fertility,14.611
Anguilla,2015,Instant replacement,14.611
Anguilla,2015,Zero migration,14.611
Anguilla,2015,Constant mortality,14.611
Anguilla,2015,No change,14.611
Anguilla,2015,Momentum,14.611
Antigua and Barbuda,2015,Medium,99.923
Antigua and Barbuda,2015,High,99.923
Antigua and Barbuda,2015,Low,99.923
Antigua and Barbuda,2015,Constant fertility,99.923
Antigua and Barbuda,2015,Instant replacement,99.923
Antigua and Barbuda,2015,Zero migration,99.923
Antigua and Barbuda,2015,Constant mortality,99.923
Antigua and Barbuda,2015,No change,99.923
Antigua and Barbuda,2015,Momentum,99.923
Argentina,2015,Medium,43417.765
Argentina,2015,High,43417.765
Argentina,2015,Low,43417.765
Argentina,2015,Constant fertility,43417.765
Argentina,2015,Instant replacement,43417.765
Argentina,2015,Zero migration,43417.765
Argentina,2015,Constant mortality,43417.765
Argentina,2015,No change,43417.765
Argentina,2015,Momentum,43417.765
Armenia,2015,Medium,2916.95
Armenia,2015,High,2916.95
Armenia,2015,Low,2916.95
Armenia,2015,Constant fertility,2916.95
Armenia,2015,Instant replacement,2916.95
Armenia,2015,Zero migration,2916.95
Armenia,2015,Constant mortality,2916.95
Armenia,2015,No change,2916.95
Armenia,2015,Momentum,2916.95
Aruba,2015,Medium,104.341
Aruba,2015,High,104.341
Aruba,2015,Low,104.341
Aruba,2015,Constant fertility,104.341
Aruba,2015,Instant replacement,104.341
