state,2016,2017,2018,2019,2020
Alabama,94.41,94.79,95.77,96.32,97.09
Alabama,93.71,94.5,95.56,95.74,96.08
Alabama,87.18,87.56,90.48,90.83,93.06
Alabama,92.85,91.82,92.49,92.72,92.56
Alabama,94.05,95.14,95.92,96.64,94.8
Alabama,86.74,87.87,88.94,96.13,96.65
Alabama,90.2,92.35,93.29,93.2,93.53
Alabama,88.32,89.93,91.23,91.92,92.71
Alabama,92.51,93.6,95.03,96.06,96.41
Alabama,94.14,94.66,94.41,95.57,95.87
Alabama,92.06,93.29,92.91,93.59,93.9
Alabama,86.36,90.19,89.43,92.1,93.53
Alabama,82.92,84.78,85.63,87.8,88.37
Alabama,93.41,93.56,93.61,94.59,94.64
Alabama,92.83,92.15,92.47,94.05,96.71
Alabama,93.81,93.96,94.06,94.26,94.5
Alabama,92.47,93.06,94.14,95.65,96.01
Alabama,79.57,85.5,88.51,90.76,92.14
Alabama,87.42,88.67,94.2,97.13,97.45
Alabama,89.34,89.3,91.25,91.64,92.3
Alabama,92.64,93.61,94.18,96.58,95.95
Alabama,93.94,94.24,94.55,94.91,94.99
Alabama,89.61,89.56,91.21,92.02,90.98
Alabama,85.1,86.27,88.24,88.95,89.62
Alabama,93.66,94.89,95.49,96.05,95.55
Alabama,92.53,92.67,93.84,95.39,95.93
Alabama,84.76,86.28,86.54,89.01,89.93
Alabama,91.54,92.4,93.5,94.46,94.3
Alabama,91.23,91.63,92.96,93.66,92.05
Alabama,90.29,91.84,93.86,95.25,95.16
Alabama,89.68,91.07,91.4,94.59,96.35
Alabama,81.85,85.19,84.15,88.51,87.34
Alabama,87.94,88.28,88.11,89.15,90.88
Alabama,92.47,93.34,93.29,94.11,94.55
Alabama,91.93,92.37,92.96,93.58,94.4
Alabama,91.39,92.26,94.05,94.87,94.81
Alabama,91.78,92.31,92.74,93.53,93.75
Alabama,90.47,92.13,91.99,91.15,94.89
Alabama,92.36,93.44,94.65,95.29,95.33
Alabama,91.68,92.77,94.26,94.73,96.24
Alabama,93.93,94.25,94.3,94.83,95.32
Alabama,92.06,92.94,93.05,93.76,94.91
Alabama,87.73,88.79,88.48,90.1,89.52
Alabama,84.96,85.45,87.87,88.67,89.13
Alabama,92.67,93.49,94.2,94.99,95.53
Alabama,85.93,87.2,90.29,92.03,93.06
Alabama,92.35,94.51,94.42,94.54,93.84
Alabama,92.83,93.48,94.91,95.73,96.35
Alabama,91.3,92.53,93.8,94.17,94.38
Alabama,78.17,78.44,82.53,84.57,86.49
Alabama,91.55,92.36,92.43,93.42,93.58
Alabama,91.07,93.54,94.82,94.92,95.21
Alabama,88.27,88.19,87.7,89.86,88.55
Alabama,87.68,87.81,89.45,89.74,91.53
