state,pct,COUNTY
Alabama,58.37,Autauga County
Alabama,60.67,Baldwin County
Alabama,43,Barbour County
Alabama,54.12,Bibb County
Alabama,59.56,Blount County
Alabama,46.76,Bullock County
Alabama,54.84,Butler County
Alabama,55.47,Calhoun County
Alabama,56.1,Chambers County
Alabama,59.78,Cherokee County
Alabama,58.25,Chilton County
Alabama,51.05,Choctaw County
Alabama,50.63,Clarke County
Alabama,54.49,Clay County
Alabama,57.87,Cleburne County
Alabama,47.61,Coffee County
Alabama,61.21,Colbert County
Alabama,49.1,Conecuh County
Alabama,56.91,Coosa County
Alabama,56.47,Covington County
Alabama,55.02,Crenshaw County
Alabama,57.24,Cullman County
Alabama,44.7,Dale County
Alabama,44.02,Dallas County
Alabama,53.68,DeKalb County
Alabama,62.31,Elmore County
Alabama,53.7,Escambia County
Alabama,56.22,Etowah County
Alabama,54.55,Fayette County
Alabama,52.25,Franklin County
Alabama,47.69,Geneva County
Alabama,38.57,Greene County
Alabama,46.81,Hale County
Alabama,55.42,Henry County
Alabama,52.89,Houston County
Alabama,57.5,Jackson County
Alabama,60.95,Jefferson County
Alabama,54.88,Lamar County
Alabama,62.38,Lauderdale County
Alabama,59.83,Lawrence County
Alabama,66.71,Lee County
Alabama,65.3,Limestone County
Alabama,45.92,Lowndes County
Alabama,50.92,Macon County
Alabama,67.11,Madison County
Alabama,53.38,Marengo County
Alabama,53.69,Marion County
Alabama,54.76,Marshall County
Alabama,54.11,Mobile County
Alabama,48.27,Monroe County
Alabama,52.94,Montgomery County
Alabama,60.49,Morgan County
Alabama,43.77,Perry County
Alabama,49.89,Pickens County
Alabama,61.06,Pike County
Alabama,56.98,Randolph County
Alabama,42.54,Russell County
Alabama,64.49,St. Clair County
Alabama,74.37,Shelby County
Alabama,42.84,Sumter County
Alabama,55.01,Talladega County
Alabama,54.39,Tallapoosa County
Alabama,66,Tuscaloosa County
Alabama,56.55,Walker County
Alabama,55.67,Washington County
Alabama,39.01,Wilcox County
Alabama,50.84,Winston County
Alaska,39.66,Aleutians East Borough
Alaska,66.3,Aleutians West Census Area
Alaska,56.35,Anchorage Municipality
Alaska,27.52,Bethel Census Area
Alaska,57.66,Bristol Bay Borough
Alaska,62.37,Chugach Census Area
Alaska,47.55,Copper River Census Area
Alaska,73.7,Denali Borough
Alaska,32.31,Dillingham Census Area
Alaska,55.22,Fairbanks North Star Borough
Alaska,46.85,Haines Borough
Alaska,43.18,Hoonah-Angoon Census Area
Alaska,66.92,Juneau City and Borough
Alaska,52.19,Kenai Peninsula Borough
Alaska,60.35,Ketchikan Gateway Borough
Alaska,44.74,Kodiak Island Borough
Alaska,15.23,Kusilvak Census Area
Alaska,34.69,Lake and Peninsula Borough
Alaska,50.31,Matanuska-Susitna Borough
Alaska,32.59,Nome Census Area
Alaska,58.07,North Slope Borough
Alaska,29.94,Northwest Arctic Borough
Alaska,56.04,Petersburg Census Area
Alaska,38.99,Prince of Wales-Hyder Census Area
Alaska,58.01,Sitka City and Borough
Alaska,69.69,Skagway Municipality
Alaska,48.03,Southeast Fairbanks Census Area
Alaska,51.06,Wrangell City and Borough
Alaska,52.26,Yakutat City and Borough
Alaska,27.65,Yukon-Koyukuk Census Area
Arizona,29.76,Apache County
Arizona,44.27,Cochise County
Arizona,60.48,Coconino County
Arizona,47.11,Gila County
Arizona,53.25,Graham County
Arizona,73.48,Greenlee County
Arizona,44,La Paz County
Arizona,59.64,Maricopa County
Arizona,45.48,Mohave County
Arizona,37.05,Navajo County
Arizona,52.94,Pima County
Arizona,54.86,Pinal County
Arizona,38.85,Santa Cruz County
Arizona,52.38,Yavapai County
Arizona,43.43,Yuma County
Arkansas,51.49,Arkansas County
Arkansas,43.99,Ashley County
Arkansas,50.14,Baxter County
Arkansas,65.88,Benton County
Arkansas,55.39,Boone County
Arkansas,44.17,Bradley County
Arkansas,45.19,Calhoun County
Arkansas,46.89,Carroll County
Arkansas,35.5,Chicot County
Arkansas,56.12,Clark County
Arkansas,44.93,Clay County
Arkansas,49.82,Cleburne County
Arkansas,54.65,Cleveland County
Arkansas,51.74,Columbia County
Arkansas,46.17,Conway County
Arkansas,54.69,Craighead County
Arkansas,48.6,Crawford County
Arkansas,46.91,Crittenden County
Arkansas,46.18,Cross County
Arkansas,44.32,Dallas County
Arkansas,44.82,Desha County
Arkansas,53.07,Drew County
Arkansas,61.95,Faulkner County
Arkansas,45.01,Franklin County
Arkansas,39.51,Fulton County
Arkansas,47.58,Garland County
Arkansas,54.95,Grant County
Arkansas,50.4,Greene County
Arkansas,47.3,Hempstead County
Arkansas,49.52,Hot Spring County
Arkansas,43.71,Howard County
Arkansas,50.34,Independence County
Arkansas,43.97,Izard County
Arkansas,39.08,Jackson County
Arkansas,50.5,Jefferson County
Arkansas,49.74,Johnson County
Arkansas,42.15,Lafayette County
Arkansas,46.65,Lawrence County
Arkansas,37.53,Lee County
Arkansas,53.08,Lincoln County
Arkansas,57.8,Little River County
Arkansas,51.75,Logan County
Arkansas,53.36,Lonoke County
Arkansas,49.49,Madison County
Arkansas,49.13,Marion County
Arkansas,47.1,Miller County
Arkansas,47.58,Mississippi County
Arkansas,44.32,Monroe County
Arkansas,45.6,Montgomery County
Arkansas,39.57,Nevada County
Arkansas,53.27,Newton County
Arkansas,43.11,Ouachita County
Arkansas,51.72,Perry County
Arkansas,36.64,Phillips County
Arkansas,52.18,Pike County
Arkansas,37.14,Poinsett County
Arkansas,43.09,Polk County
Arkansas,52.73,Pope County
Arkansas,55.37,Prairie County
Arkansas,54.06,Pulaski County
Arkansas,43.22,Randolph County
Arkansas,39.81,St. Francis County
Arkansas,63.26,Saline County
Arkansas,46.25,Scott County
Arkansas,44.08,Searcy County
Arkansas,50.48,Sebastian County
Arkansas,42.68,Sevier County
Arkansas,36.77,Sharp County
Arkansas,34.72,Stone County
Arkansas,55.31,Union County
Arkansas,39.35,Van Buren County
Arkansas,60.72,Washington County
Arkansas,52.8,White County
Arkansas,48.42,Woodruff County
Arkansas,51.89,Yell County
California,70.14,Alameda County
California,50.73,Alpine County
California,60.36,Amador County
California,53.39,Butte County
California,57.1,Calaveras County
California,51.06,Colusa County
California,69.36,Contra Costa County
California,44.13,Del Norte County
California,67.23,El Dorado County
California,47.1,Fresno County
California,48.43,Glenn County
California,49.69,Humboldt County
California,39.73,Imperial County
California,60.31,Inyo County
California,46.33,Kern County
California,44.06,Kings County
California,39.15,Lake County
California,61.98,Lassen County
California,55.13,Los Angeles County
California,43.53,Madera County
California,74.42,Marin County
California,50.17,Mariposa County
California,42.36,Mendocino County
California,43.53,Merced County
California,47.35,Modoc County
California,65.94,Mono County
California,51.46,Monterey County
California,66.66,Napa County
California,59.67,Nevada County
