state,county,pct_employed,pct_private
Alabama,Autauga County,97.09,58.37
Alabama,Baldwin County,96.08,60.67
Alabama,Barbour County,93.06,43
Alabama,Bibb County,92.56,54.12
Alabama,Blount County,94.8,59.56
Alabama,Bullock County,96.65,46.76
Alabama,Butler County,93.53,54.84
Alabama,Calhoun County,92.71,55.47
Alabama,Chambers County,96.41,56.1
Alabama,Cherokee County,95.87,59.78
Alabama,Chilton County,93.9,58.25
Alabama,Choctaw County,93.53,51.05
Alabama,Clarke County,88.37,50.63
Alabama,Clay County,94.64,54.49
Alabama,Cleburne County,96.71,57.87
Alabama,Coffee County,94.5,47.61
Alabama,Colbert County,96.01,61.21
Alabama,Conecuh County,92.14,49.1
Alabama,Coosa County,97.45,56.91
Alabama,Covington County,92.3,56.47
Alabama,Crenshaw County,95.95,55.02
Alabama,Cullman County,94.99,57.24
Alabama,Dale County,90.98,44.7
Alabama,Dallas County,89.62,44.02
Alabama,DeKalb County,95.55,53.68
Alabama,Elmore County,95.93,62.31
Alabama,Escambia County,89.93,53.7
Alabama,Etowah County,94.3,56.22
Alabama,Fayette County,92.05,54.55
Alabama,Franklin County,95.16,52.25
Alabama,Geneva County,96.35,47.69
Alabama,Greene County,87.34,38.57
Alabama,Hale County,90.88,46.81
Alabama,Henry County,94.55,55.42
Alabama,Houston County,94.4,52.89
Alabama,Jackson County,94.81,57.5
Alabama,Jefferson County,93.75,60.95
Alabama,Lamar County,94.89,54.88
Alabama,Lauderdale County,95.33,62.38
Alabama,Lawrence County,96.24,59.83
Alabama,Lee County,95.32,66.71
Alabama,Limestone County,94.91,65.3
Alabama,Lowndes County,89.52,45.92
Alabama,Macon County,89.13,50.92
Alabama,Madison County,95.53,67.11
Alabama,Marengo County,93.06,53.38
Alabama,Marion County,93.84,53.69
Alabama,Marshall County,96.35,54.76
Alabama,Mobile County,94.38,54.11
Alabama,Monroe County,86.49,48.27
Alabama,Montgomery County,93.58,52.94
Alabama,Morgan County,95.21,60.49
Alabama,Perry County,88.55,43.77
Alabama,Pickens County,91.53,49.89
Alabama,Pike County,95.12,61.06
Alabama,Randolph County,95.91,56.98
Alabama,Russell County,94.41,42.54
Alabama,St. Clair County,94.8,64.49
Alabama,Shelby County,96.22,74.37
Alabama,Sumter County,92.03,42.84
Alabama,Talladega County,92.95,55.01
Alabama,Tallapoosa County,89.04,54.39
Alabama,Tuscaloosa County,94.05,66
Alabama,Walker County,92.67,56.55
Alabama,Washington County,93.25,55.67
Alabama,Wilcox County,87.02,39.01
Alabama,Winston County,94.57,50.84
Alaska,Aleutians East Borough,96.44,39.66
Alaska,Aleutians West Census Area,95.99,66.3
Alaska,Anchorage Municipality,94.77,56.35
Alaska,Bethel Census Area,82.5,27.52
Alaska,Bristol Bay Borough,96.18,57.66
Alaska,Chugach Census Area,97.19,62.37
Alaska,Copper River Census Area,94.36,47.55
Alaska,Denali Borough,96.34,73.7
Alaska,Dillingham Census Area,88.4,32.31
Alaska,Fairbanks North Star Borough,92.88,55.22
Alaska,Haines Borough,90.97,46.85
Alaska,Hoonah-Angoon Census Area,89.15,43.18
Alaska,Juneau City and Borough,95.57,66.92
Alaska,Kenai Peninsula Borough,92,52.19
Alaska,Ketchikan Gateway Borough,94.44,60.35
Alaska,Kodiak Island Borough,93.82,44.74
Alaska,Kusilvak Census Area,77.45,15.23
Alaska,Lake and Peninsula Borough,81.75,34.69
Alaska,Matanuska-Susitna Borough,90.13,50.31
Alaska,Nome Census Area,81.93,32.59
Alaska,North Slope Borough,90.2,58.07
Alaska,Northwest Arctic Borough,84.02,29.94
Alaska,Petersburg Census Area,95.68,56.04
