State,Emissions,Region
AK,"11,021",West
AL,"50,855",South
AR,"39,444",South
AZ,"49,434",West
CA,"23,056",West
CO,"42,389",West
CT,"6,909",Northeast
DC,0,South
DE,"2,292",South
FL,"74,600",South
GA,"40,115",South
HI,"19,553",West
IA,"34,130",Midwest
ID,"17,168",West
IL,"49,458",Midwest
IN,"112,929",Midwest
KS,"27,726",Midwest
KY,"87,906",South
LA,"44,407",South
MA,"10,452",Northeast
MD,"16,264",South
ME,"3,184",Northeast
MI,"64,216",Midwest
MN,"27,615",Midwest
MO,"75,218",Midwest
MS,"20,771",South
MT,"20,194",West
NC,"43,456",South
ND,"46,632",Midwest
NE,"25,213",Midwest
NH,"3,952",Northeast
NJ,"10,574",Northeast
NM,"45,223",West
NV,"14,438",West
NY,"27,896",Northeast
OH,"91,403",Midwest
OK,"39,471",South
OR,"9,564",West
PA,"131,572",Northeast
RI,839,Northeast
SC,"16,861",South
SD,"10,613",Midwest
TN,"19,108",South
TX,"147,530",South
UT,"55,166",West
VA,"28,359",South
VT,426,Northeast
WA,"9,586",West
WI,"26,600",Midwest
WV,"70,967",South
WY,"42,689",West
